0.5,0.055999999999999994,0.42000000000000004,0.,0.33999999999999997,0.16860000000000003,0.027,0.135,0.14187000000000002,0.00729,0.01215,0.10124999999999999
1.,0.08,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
-1.,-0.06,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
-0.3333333333333333,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
